correlaction entre les valeurs d'une colonne et le taux de spam : 

colonne		correlationspam		correlation_nonspam

word_freq_make 0.13931753966529015 0.08954575092371224
word_freq_address 0.1358400347750489 0.05933492718974136
word_freq_3d 0.008476418169963052 0.001738752445120626
word_freq_our 0.24646815909584874 0.13344925016300804
word_freq_over 0.1480113018908933 0.06911540969354488
word_freq_remove 0.16605085850901977 0.009345794392523364
word_freq_internet 0.13453597044120844 0.04455553140621604
word_freq_order 0.12062595088024343 0.04738100412953706
word_freq_mail 0.1797435340143447 0.10323842642903716
word_freq_receive 0.12323407954792437 0.03086285590089111
word_freq_people 0.11301890893284068 0.07215822647250597
word_freq_report 0.050206476852858076 0.027385351010649858
word_freq_addresses 0.06237774396870246 0.010649858726363834
word_freq_free 0.21495327102803738 0.054770702021299716
word_freq_business 0.15148880678113455 0.05781351880026081
word_freq_email 0.14953271028037382 0.07607041947402739
word_freq_credit 0.0819387089763095 0.010215170615083678
word_freq_your 0.3186263855683547 0.20799826124755488
word_freq_font 0.020647685285807432 0.004781569224081721
word_freq_000 0.1308411214953271 0.016735492284286026
word_freq_money 0.1480113018908933 0.011736579004564224
char_freq_! 0.32840686807215824 0.16235600956313845
char_freq_$ 0.24103455770484677 0.06324712019126277
char_freq_# 0.11323625298848077 0.049771788741577914
